"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"d:\translexabl\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"d:\translexabl\TRANSLATION_TEST_README.md", "Markdown", 0, 119, 0, 0, 0, 0, 0, 0, 0, 31, 150
"d:\translexabl\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 6, 21, 209
"d:\translexabl\app\admin\blogs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 514, 0, 0, 11, 57, 582
"d:\translexabl\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 238, 0, 0, 5, 25, 268
"d:\translexabl\app\admin\transactions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 644, 0, 0, 23, 58, 725
"d:\translexabl\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 464, 0, 0, 11, 45, 520
"d:\translexabl\app\api\admin\blogs\[id]\route.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 4, 14, 103
"d:\translexabl\app\api\admin\blogs\route.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 8, 18, 177
"d:\translexabl\app\api\admin\dashboard-stats\route.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 4, 8, 59
"d:\translexabl\app\api\admin\transactions\route.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 0, 4, 8, 169
"d:\translexabl\app\api\admin\users\[id]\route.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 4, 14, 103
"d:\translexabl\app\api\admin\users\route.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 5, 9, 138
"d:\translexabl\app\api\auth\forgot-password\route.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 4, 9, 64
"d:\translexabl\app\api\auth\login\route.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 7, 12, 94
"d:\translexabl\app\api\auth\logout\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
"d:\translexabl\app\api\auth\register\route.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"d:\translexabl\app\api\auth\reset-password\route.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 5, 10, 74
"d:\translexabl\app\api\auth\verify-email\route.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"d:\translexabl\app\api\blogs\[id]\route.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 3, 11, 72
"d:\translexabl\app\api\blogs\route.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 8, 48
"d:\translexabl\app\api\download-translated\[fileId]\route.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 3, 7, 49
"d:\translexabl\app\api\paymob\config\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\translexabl\app\api\paymob\initiate\route.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 4, 13, 131
"d:\translexabl\app\api\paymob\transaction\[id]\route.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\translexabl\app\api\paymob\webhook\route.ts", "TypeScript", 288, 0, 0, 0, 0, 0, 0, 0, 43, 54, 385
"d:\translexabl\app\api\transactions\[tid]\route.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 6, 13, 94
